artist_id,artist,album_name,release_date,album_type,total_tracks,spotify_id,kkbox_id
11,麋先生,2020再出發,2020-08-10,N/A,N/A,None,Src_5Hzwz6vWk5-fg7
11,麋先生,Hey（LINE TV《HiStory3-那一天》插曲）,2019-10-25,single,1,27NPUYG8hi0lUMsznOhxMx,Gpwdl_zTWop22S0dif
11,麋先生,Mr. ME,2022-03-12,single,1,6GQFP2qdLGcgiEBaQhlWSD,TZpu9YsfIu_Yflov5l
11,麋先生,三天三夜,2023-08-15,single,1,0T4DxRTa2PsL7qxuGa39Xc,KmJA6B6amUrTlhPhQY
11,麋先生,上台,2015-03-06,N/A,N/A,None,DaNeaQFenP603ouUNk
11,麋先生,你在哪裡,2024-05-17,single,1,6LT7YFr4Mw6MEUZIcy6Dz3,None
11,麋先生,倒數三萬天,2022-12-19,single,1,0bGZ4zadJQtAiXBaRV35Ld,CkNWR9mzW4Ta38kOPm
11,麋先生,偶像,2025-03-04,single,1,0bVv3tyuxEvWtDLPmA8fTO,OqQZCNbFHgkGioJan5
11,麋先生,別怕,2021-07-19,single,1,35YkCYIpPceZQQICFG9Zyp,-l0Uxid2p_79zv-oZ6
11,麋先生,到底我算什麼,2024-12-12,single,1,1W9Ix25yVBC32ye4PuC9cf,D-hmHftddbwdPeMlVE
11,麋先生,去飛翔,2025-02-17,single,1,1xpRv4hS8KLQ3YHLyOs3U2,H_WttU8H2kp-_uDwL6
11,麋先生,反骨歸真,2022-01-04,single,1,1mkUaWSjW56imygMjEXMdz,WtUbWJCvYOSQm1La0K
11,麋先生,喂，再看我一遍,2020-10-26,single,1,3SXfXH4ru2sb2e4TfVaXKS,D_rsnAGasaFcNc_4Lc
11,麋先生,嗜愛動物,2020-10-08,album,13,2y6OiCLA4pdMo3YmXRxMRM,Gq3r5IqQKRoy8eeOHG
11,麋先生,壞蛋,2023-10-05,single,1,0Yi0aR6Szq8WrnYCYxuunR,0m1qPH4Lqw4IkAIUx-
11,麋先生,天生寂寞,2023-06-28,single,1,0LE0WLj0TzaHexuX06DAKj,Wp87-VO7eutVHWgP4r
11,麋先生,廢廢,2020-09-21,single,1,0f19kz4jJxpxKb4dlV807U,GmyzkpO0te5pCVZgXk
11,麋先生,我們,2018-03-16,single,1,7ws0NP6GhUw6xuQ4GERFCQ,CsM_j02P0h_RmbK6JT
11,麋先生,我們的十年 WE LIVE 現場十錄,2023-02-06,album,10,0R4v89jIR8dkmL7MdjJOYu,Wkw_SqCzIvVnmJPypU
11,麋先生,接著,2018-12-07,single,1,6Z4tT5kJfpck93DsjIKsWH,Ot-08JYhEqbM9tCGVY
11,麋先生,某某某,2018-06-29,single,1,5XF7QVjfrQpshWatPmOMhK,So8kFo0NFOcHe2SMPL
11,麋先生,沒什麼大不了的心情,2025-01-02,single,1,51ZazKIk9VZJB8Ogt0m7gg,GkxIQWCex3YZIX23b0
11,麋先生,沒名字的人類,2015-03-27,album,10,1kfqFwARjLOo50iVlmIP0R,9-1M2XhimwqbKrS5HM
11,麋先生,沒名字的人類,2015-03-27,N/A,N/A,None,H_7ekT4H2kp-83O5lg
11,麋先生,走囉,2019-12-13,single,1,0D993Ge93QAvyKV67GirZ0,8pIxG_4cvmYiPSP2At
11,麋先生,都是浪漫害的,2023-10-17,album,11,6k3Aj8q27ETWzwpb9jG3Np,4tqgtkZ1titQ_BI_OU
11,麋先生,野生,2016-10-28,album,10,3A2VdBtlFFopIFhd92rpFo,Wk19TNBzIvVnmR5umt
11,麋先生,野生遊樂園 - Live,2025-04-10,single,1,5JiuRTekoikbMQZ1jaVPCF,TXy-5l5oOtk92MSXHg
11,麋先生,長成什麼樣子算愛情,2021-12-10,single,1,2mi78WPBCsQtGV7MCTa6HK,Lao4IUWcR5JlmX9uv8
11,麋先生,馬戲團運動,2013-06-06,album,7,3s2C9fDA3TS831VkeNH6Rn,L_ke0q4eYWLlS3GsNJ
11,麋先生,馬戲團運動2024CircUs,2024-06-25,single,1,4hVLBMcNOwqqPIYEdcXdWy,OsS0QhE4qcVQZiE5DD
12,白安,1990s,2018-12-14,album,10,3CcrISxzIwT6ZGplop5E5c,PZlpy-NY_n53Ujamhc
12,白安,44天,2019-10-29,EP,6,6tyHdfBJNMVgeiskGRCCyS,GqNdHOrwKRoy_8xBkX
12,白安,Love Again,2025-03-14,single,1,42WdXu8IC62r7cVbgFx5vZ,CsiSygyf0h_RlgxBe4
12,白安,Love Again,2025-03-14,N/A,N/A,None,CmntaW8WAc3pw_wxD_
12,白安,亂七八糟的夢想,2024-06-12,single,1,5h3jamTHE4Sv0lhDKqxwBN,Wrd5yY4fkjE3nVFGxf
12,白安,回家的路,2020-07-06,single,1,5jJbLL8Fb1JrTDEf7S094a,SqmYyh3lKtRJRyLtno
12,白安,我們都活在進化之中,2022-11-10,single,1,4xmuvpsEndyepilu3TA1PG,None
12,白安,我把你留在去年,2025-01-20,single,1,1JvUzfdXtWlUz13m7dDFHz,1YNgskDuV_hOBZVX_5
12,白安,接下來是什麼,2014-09-05,album,10,4M4aPrG9oV2R69m3Rxdo1F,T_7Ta5mb5SlJ8qniIi
12,白安,沒有人寫歌給你過吧,2022-08-03,N/A,N/A,None,9XoH9tmnC0_tkGhrF6
12,白安,沒有人寫歌給你過吧,2022-08-31,album,10,2KFILcMINkSVFZKkrw8Yfp,GmgEMtNUte5pCoHLyq
12,白安,白色,2021-01-19,single,1,0PXPNUBvFeBg3P6YsVDRFm,Or8PfT4-LG7iPuAnPS
12,白安,送你一首過年歌,2016-01-22,single,1,6NVS1ovfHnrmMSVZAq1Xcz,None
12,白安,這裡什麼都沒有 (電影《女鬼橋 2：怨鬼樓》主題曲),2023-09-29,single,1,36Acr9oI5gbY6rFZ9w6Mx2,CtN_PF9XoP3rPlm75b
12,白安,麥田捕手,1970-01-01,N/A,N/A,None,DZnXQLo_1aDjFYG7h2
12,白安,麥田捕手,2012-12-14,album,10,5e3hr6rgZB3q3JlwJGDVdx,OsH_8KA4qcVQa15or3
13,李劍青,仍是異鄉人,2017-07-24,album,7,0mmwUSKyrQQ40hAjjSWSiu,PaYgiwKBDe7LXHLAdm
13,李劍青,匆匆,1970-01-01,N/A,N/A,None,1_Ho-FXtt3XPWxUH5d
13,李劍青,匆匆,2013-12-24,single,1,7hkaI7HnR8pd5HpCsP6QVZ,_aP-HSruDpNo4S1idA
13,李劍青,找到你,2018-09-27,N/A,N/A,None,CoBfcW6-1JHrzgXFjs
13,李劍青,找到你 (電影《找到你》主題曲),2018-09-27,single,1,1LQxd7zCvWgVNXG83uQmpE,None
13,李劍青,送你一首過年歌,2016-01-22,single,1,6NVS1ovfHnrmMSVZAq1Xcz,None
14,Tizzy Bac,"CANCELLED-If I See Hell, I Won't Be Afraid of Demons",2009-01-01,N/A,N/A,None,L-fFokx1KwYNpV8goO
14,Tizzy Bac,Human Error,2022-12-20,album,11,0HIUl7AYczDxhnhu42AGmR,1XVa0fXXDReMGTvstj
14,Tizzy Bac,The River (in the Holiday Season),2017-12-22,single,1,3kTvhnqQ3JSXAKt2FE0YMH,OmmD4-goP4HnASDCHP
14,Tizzy Bac,Tizzy Bac 20週年演唱會「鐵之貝克 XX」,2021-01-08,album,30,0kDamjKeVuIYDK1MY6XJSZ,WnnxjdCXUikGjazQus
14,Tizzy Bac,Yi Sui Wu,2013-05-31,N/A,N/A,None,D-GXRHpddbwdNJea2f
14,Tizzy Bac,Yi Sui Wu,2013-05-31,N/A,N/A,None,4r3AkxjAFoOyaIQTiF
14,Tizzy Bac,《 甚麼事都叫平凡人分心 》紀念EP,2023-08-11,EP,4,7l7KunaqYZMmI2cTfeMXyl,Ska5wK4adNq4XvxuJ4
14,Tizzy Bac,什麼事都叫我分心,2003-03-01,album,10,4VX71HCs2nnc7G8vAaaywt,LXN6D-4zKFATvDPO-X
14,Tizzy Bac,你們都不要變,2009-08-10,N/A,N/A,None,4nuKL-OkzvZw2h2oVc
14,Tizzy Bac,你們都不要變,2009-10-10,N/A,N/A,None,Gk-m-dGex3YZKBjsRp
14,Tizzy Bac,你們都不要變,2009-10-13,EP,3,2czoY4TLUZwXr4IM9KNzoP,4kmtrMZXF4KmWmhE4H
14,Tizzy Bac,吹動生命的風,2019-10-18,single,1,22MQCrs2qBmge7P0Gw6HaH,KrxzOSyUQPhDAVPUhv
14,Tizzy Bac,告密的心,2011-05-18,album,16,0TAz1GByCVqAhen3icMtf6,CmQXY_4WAc3pwRYEOy
14,Tizzy Bac,告密的心,2011-05-18,N/A,N/A,None,4pQMhMu83PHEaJmcN8
14,Tizzy Bac,夏季熱,2005-08-01,EP,3,0c075sXBvwhlhVdlXxkFOR,4lwJTwRx6leseHp5b7
14,Tizzy Bac,失去做夢能力的人們,2025-01-17,single,1,3lGFv5VgutBraEzfVm2v91,X_kbniYUyKgAmgV52s
14,Tizzy Bac,"如果看見地獄, 我就不怕魔鬼",2009-02-13,album,13,1Pfb3ikWYqNBZqRlhGJjQi,4mWWgRFE2kVG4Qja5M
14,Tizzy Bac,如果看見地獄，我就不怕魔鬼,2009-02-13,N/A,N/A,None,GpMRiQzzWop23NlAAY
14,Tizzy Bac,愛的多重宇宙,2025-02-14,single,1,4aFmyXthHuHDdFP7cVngql,Gp1sI-3jWop22aIwEV
14,Tizzy Bac,愛的多重宇宙,2025-02-14,N/A,N/A,None,PaXXWJORDe7LV5oZa1
14,Tizzy Bac,我想你會變成這樣都是我害的,2006-04-07,album,13,2EKOgefDXTnBqUh5rv3AUD,LaRtLeUcR5JlmVNF00
14,Tizzy Bac,易碎物,2013-06-14,album,13,5poCYlhJC1EW1HO36MVdjF,CnKkPpRV4d6Z3VEghB
14,Tizzy Bac,易碎物,2013-06-14,N/A,N/A,None,Cnsxr8QV4d6Z3IxZvm
14,Tizzy Bac,暴風,2017-11-11,single,1,5tC53O1BFbG63I8nE4XQ2z,KoTkI-oa1IXU80cQBE
14,Tizzy Bac,沙漏,2018-02-09,single,1,5lJoX781lrlsRBXS4gW0eu,4sbyV6sixHs9CHOdQ_
14,Tizzy Bac,知人,2018-10-19,album,12,0WTCeQNEnhiMxetUQLriuk,4rvypDjwFoOyZ-OyOF
14,Tizzy Bac,穿越光年的孤獨,2020-11-05,N/A,N/A,None,8p3vbI58vmYiOd3GTH
14,Tizzy Bac,穿越光年的孤獨,2020-12-29,EP,3,5uGOdMaGuBltH5NC1s29w2,CrWDgC-JyWtoipNGE4
14,Tizzy Bac,維克多的玫瑰,2007-03-30,EP,4,1PRoq29lhOshgF4wkeepX1,8s3rzL6TI8uiqqafi7
14,Tizzy Bac,聊聊吧,2007-10-08,album,18,0LMirjauXpXiVqZN5zEeyP,4o9ap4pRVgY_aDDzNK
14,Tizzy Bac,說出我的名字,2025-03-25,album,11,0AFvYBhgqq8Ai4xGAhHRvN,Wn5zl4H3UikGg1msqK
14,Tizzy Bac,這是因為我們能感到疼痛,2013-04-19,EP,5,3pmg4yP5yuctYI7QadiK1D,8teRkzN8ZgqWfKq8QW
14,Tizzy Bac,這是因為我們能感到疼痛,2013-04-19,N/A,N/A,None,GnsWwv0XPEfODFzYI7
14,Tizzy Bac,鐵之貝克2.0,2019-11-15,single,1,1FGvaLX2S8IL00Di0T3ajW,Krt7CqyUQPhDA6F607
15,Energy,Chill Energy,2022-11-15,album,7,4eDmbYgQxcYgeiRv1RTtvF,4tIyTpZFtitQ9ezIyf
15,Energy,E3,2003-01-01,N/A,N/A,None,XYZ5CcKPROdeeSa3e6
15,Energy,E3 2,2003-01-01,album,11,73hdklTT67x1mm3bg3O1Mc,None
15,Energy,ENERGY!4EVER - CD 1,2004-01-01,N/A,N/A,None,HZDu-LBCAsSpJViMZA
15,Energy,ENERGY!4EVER - CD 2,2004-01-01,N/A,N/A,None,TXyQBG9oOtk905Gi4J
15,Energy,Energy! Come On!,2002-01-01,album,14,1KIrULDf8oCDGH3AmNohDC,8pAztA4svmYiP46rQ-
15,Energy,Energy4ever,2004-01-01,album,18,558u8WGKyI5j8rzLNEsQEj,9_qHAc1NrjpYbrgnxM
15,Energy,HEY-YOU! (米迦勒之舞電視原聲帶),2004-07-09,album,18,0usYcnoPx0JymrSZ5ILjEE,8rugADUrLZoqP2OJOs
15,Energy,Here I Am,2024-05-02,EP,6,1ONlWSqyHGDyOoyfNsTnoS,KpNk28tPaopkDwHuQP
15,Energy,Love Engergy,2022-11-09,EP,6,3pbWd77ypBPO3BDY5dsN4K,8qIDq0sVOgKcvfbo7K
15,Energy,Power Engery,2022-11-03,EP,6,0saSdNQDZpotPeMk5YCvcB,0rFefCi9HaJ6mGzwjG
15,Energy,分合,2024-01-27,single,1,7kCG6P2OCX53a0Ideqm0Eq,5aE-8GzoczZYSlAyt-
15,Energy,另類人生,2008-11-04,N/A,N/A,None,4r5sQzjQFoOyYpdk4_
15,Energy,同病相戀,2025-03-31,single,1,5LxIzRDFWTbeSMcGMvIlRc,4kQg9ncXF4KmWbzwN1
15,Energy,天生反骨,2007-01-01,album,10,3RbXnr3Sxa0PiDEd3XG1xS,LaFl_eUcR5JlkxEAAt
15,Energy,放手 (復合版),2024-01-18,N/A,N/A,None,Daq9uQGunP601q08Jx
15,Energy,放手（復合版）,2024-01-18,single,1,5YiO1Dtm1jdpWJRRnOrvQZ,None
15,Energy,星期五晚上,2024-04-12,single,1,1hmqJPjFzyMiyZNqxEaQFS,1_8CygTtt3XPWXAZ4N
15,Energy,星期五晚上 (慶功16蹲版),2024-07-19,single,1,6FHvq12S2de3SoA64erYyB,8px1V98svmYiMWT1si
15,Energy,最後的樂園,2005-01-01,album,11,4bAHfqmSSdzGTaC3t4cDeA,Cl2hov3BhWIkCFwvj2
15,Energy,無懈可擊,2003-01-01,album,11,6ciDL1cv5YAxnR4pmZsTBU,CkJyHflzW4Ta2fu1PH
15,Energy,猩人類,2006-01-01,album,10,5gsOyUaT0s8BGy64BDPJ2J,CpNMwVWkaw7YDWHDIA
15,Energy,米迦勒之舞電視原聲帶,2004-07-09,N/A,N/A,None,9YlmaN0HpTG8LA5JIi
